City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,Skibbereen,IE,2020-11-10 10:22:31,51.55,-9.27,48.2,93,75,8.05,light intensity drizzle
62,Griffith,US,2020-11-10 10:22:32,41.53,-87.42,68.0,82,90,12.75,overcast clouds
63,Castro,BR,2020-11-10 10:21:03,-24.79,-50.01,62.92,89,100,7.38,light rain
64,Zhob,PK,2020-11-10 10:22:32,31.34,69.45,71.64,19,0,1.36,clear sky
65,Praia Da Vitoria,PT,2020-11-10 10:18:54,38.73,-27.07,62.01,93,90,9.6,mist
66,Thompson,CA,2020-11-10 10:22:32,55.74,-97.86,12.2,92,90,6.93,light snow
67,Jalu,LY,2020-11-10 10:22:33,29.03,21.55,72.21,50,1,9.64,clear sky
68,Baoding,CN,2020-11-10 10:22:33,38.85,115.49,52.97,40,2,1.95,clear sky
69,Uri,IN,2020-11-10 10:22:33,34.08,74.03,65.64,24,100,5.75,overcast clouds
70,Aksu,CN,2020-11-10 10:22:33,41.12,80.26,56.37,29,0,4.41,clear sky
71,Dehloran,IR,2020-11-10 10:22:34,32.69,47.27,81.27,32,6,6.11,clear sky
72,Omboue,GA,2020-11-10 10:22:34,-1.57,9.26,77.04,88,100,6.69,light rain
73,Bluff,NZ,2020-11-10 10:22:34,-46.6,168.33,50.0,90,0,1.01,clear sky
74,Faya,SA,2020-11-10 10:22:35,18.39,42.45,80.6,15,20,4.7,few clouds
75,Chuy,UY,2020-11-10 10:22:35,-33.7,-53.46,63.61,75,96,8.05,overcast clouds
76,Fortuna,US,2020-11-10 10:18:11,40.6,-124.16,37.4,93,90,6.93,overcast clouds
77,Albany,US,2020-11-10 10:22:36,42.6,-73.97,46.0,100,1,1.83,clear sky
78,Ponta Do Sol,PT,2020-11-10 10:22:36,32.67,-17.1,68.0,68,40,5.82,scattered clouds
79,Klaksvik,FO,2020-11-10 10:22:36,62.23,-6.59,50.0,100,99,16.11,mist
80,Ostrovnoy,RU,2020-11-10 10:22:36,68.05,39.51,33.51,89,100,13.49,overcast clouds
81,Sorland,NO,2020-11-10 10:22:37,67.67,12.69,41.0,80,75,11.41,light intensity drizzle
82,Chipinge,ZW,2020-11-10 10:22:37,-20.19,32.62,82.71,47,22,10.49,few clouds
83,Lasa,IT,2020-11-10 10:22:37,46.62,10.7,42.8,75,75,6.93,broken clouds
84,Georgetown,MY,2020-11-10 10:22:37,5.41,100.34,86.0,70,20,4.7,few clouds
85,Road Town,VG,2020-11-10 10:22:37,18.42,-64.62,78.01,94,100,5.99,light rain
86,College,US,2020-11-10 10:22:38,64.86,-147.8,24.8,73,90,5.82,overcast clouds
87,Chokurdakh,RU,2020-11-10 10:22:38,70.63,147.92,-13.92,91,91,2.33,overcast clouds
88,Hobyo,SO,2020-11-10 10:22:38,5.35,48.53,83.79,65,79,18.32,broken clouds
89,Qaqortoq,GL,2020-11-10 10:22:38,60.72,-46.03,26.2,93,51,2.33,broken clouds
90,Port Alfred,ZA,2020-11-10 10:22:38,-33.59,26.89,62.87,69,95,4.65,overcast clouds
91,Rikitea,PF,2020-11-10 10:22:39,-23.12,-134.97,73.85,77,69,15.35,broken clouds
92,Bredasdorp,ZA,2020-11-10 10:22:39,-34.53,20.04,68.0,40,0,5.82,clear sky
93,Provideniya,RU,2020-11-10 10:22:39,64.38,-173.3,34.68,95,100,8.86,light rain
94,Buraydah,SA,2020-11-10 10:22:39,26.33,43.98,84.2,48,75,9.17,dust
95,Asau,RO,2020-11-10 10:22:40,46.43,26.4,42.01,90,100,2.82,overcast clouds
96,Hovd,MN,2020-11-10 10:22:40,48.01,91.64,33.28,74,59,0.89,broken clouds
97,Port Lincoln,AU,2020-11-10 10:22:40,-34.73,135.87,65.68,72,38,25.08,light rain
98,Beyneu,KZ,2020-11-10 10:22:40,45.32,55.2,52.2,60,88,11.5,overcast clouds
99,Nouadhibou,MR,2020-11-10 10:22:41,20.93,-17.03,69.8,77,0,9.17,clear sky
100,Xam Nua,LA,2020-11-10 10:22:41,20.42,104.04,60.55,59,88,2.8,overcast clouds
101,Kerema,PG,2020-11-10 10:22:41,-7.96,145.78,80.1,85,100,11.92,light rain
102,Hasaki,JP,2020-11-10 10:22:41,35.73,140.83,44.6,87,40,4.7,scattered clouds
103,Bethel,US,2020-11-10 10:22:42,41.37,-73.41,54.0,87,1,4.05,clear sky
104,Butaritari,KI,2020-11-10 10:22:42,3.07,172.79,83.26,73,31,5.32,scattered clouds
105,Hilo,US,2020-11-10 10:22:42,19.73,-155.09,73.4,88,90,3.36,moderate rain
106,Coquimbo,CL,2020-11-10 10:22:11,-29.95,-71.34,53.6,93,97,3.36,overcast clouds
107,Santa Isabel Do Rio Negro,BR,2020-11-10 10:22:43,-0.41,-65.02,73.17,98,99,1.34,overcast clouds
108,Tasiilaq,GL,2020-11-10 10:22:43,65.61,-37.64,30.38,95,100,10.54,overcast clouds
109,Cabo San Lucas,MX,2020-11-10 10:22:43,22.89,-109.91,70.0,85,54,1.99,broken clouds
110,Wad Madani,SD,2020-11-10 10:22:44,14.4,33.52,95.9,15,14,13.69,few clouds
