City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Yellowknife,CA,2020-11-09 11:16:07,62.46,-114.35,30.2,80,75,16.11
70,Acarau,BR,2020-11-09 11:16:08,-2.89,-40.12,84.85,63,5,17.49
71,Kaitangata,NZ,2020-11-09 11:16:08,-46.28,169.85,52.0,74,28,1.12
72,Kahului,US,2020-11-09 11:16:08,20.89,-156.47,78.8,65,1,16.11
73,Maunabo,PR,2020-11-09 11:16:08,18.01,-65.9,77.0,98,100,11.27
74,Sioux Lookout,CA,2020-11-09 11:16:09,50.1,-91.92,51.8,87,90,9.17
75,Lorengau,PG,2020-11-09 11:16:09,-2.02,147.27,81.86,73,97,2.86
76,Roebourne,AU,2020-11-09 11:16:09,-20.78,117.13,79.68,42,0,19.35
77,Yar-Sale,RU,2020-11-09 11:16:10,66.83,70.83,15.51,96,100,8.03
78,Taitung,TW,2020-11-09 11:16:10,22.76,121.14,69.8,73,75,11.41
79,Velke Karlovice,CZ,2020-11-09 11:16:10,49.36,18.28,48.0,100,0,2.24
80,Nikolskoye,RU,2020-11-09 11:16:11,59.7,30.79,41.0,86,90,13.42
81,Tautira,PF,2020-11-09 11:16:11,-17.73,-149.15,77.0,83,100,4.7
82,Abu Samrah,SY,2020-11-09 11:16:11,35.3,37.18,71.55,39,72,10.33
83,Evensk,RU,2020-11-09 11:16:12,61.95,159.23,7.03,86,96,11.95
84,Nizwa,OM,2020-11-09 11:16:12,22.93,57.53,86.61,30,60,1.52
85,Cabo San Lucas,MX,2020-11-09 11:16:12,22.89,-109.91,69.01,82,4,1.99
86,Mabaruma,GY,2020-11-09 11:16:12,8.2,-59.78,74.21,98,94,3.0
87,Luderitz,NA,2020-11-09 11:16:13,-26.65,15.16,72.84,33,0,35.72
88,Yaan,NG,2020-11-09 11:16:13,7.38,8.57,93.33,41,36,2.37
89,Iskateley,RU,2020-11-09 11:16:13,67.68,53.15,26.6,98,86,5.23
90,Kyaukse,MM,2020-11-09 11:16:14,21.6,96.13,86.0,62,20,3.36
91,Sakaiminato,JP,2020-11-09 11:16:14,35.55,133.23,55.4,54,75,8.05
92,Iqaluit,CA,2020-11-09 11:16:14,63.75,-68.51,14.0,78,90,16.11
93,Barrow,US,2020-11-09 11:15:29,71.29,-156.79,14.0,78,90,18.34
94,Teya,RU,2020-11-09 11:16:15,60.38,92.63,33.75,90,93,12.73
95,Lokomotivnyy,RU,2020-11-09 11:16:15,53.01,60.57,35.58,77,25,15.37
96,Aklavik,CA,2020-11-09 11:16:16,68.22,-135.01,8.6,84,90,12.75
97,Kiunga,PG,2020-11-09 11:16:16,-6.12,141.29,76.05,97,100,5.08
98,Saskylakh,RU,2020-11-09 11:16:16,71.92,114.08,3.29,89,100,25.21
99,Pevek,RU,2020-11-09 11:16:17,69.7,170.31,18.3,93,99,6.53
100,East London,ZA,2020-11-09 11:16:17,-33.02,27.91,66.2,68,40,20.8
101,Qaanaaq,GL,2020-11-09 11:16:17,77.48,-69.36,-7.55,71,6,6.35
102,Trenggalek,ID,2020-11-09 11:16:17,-8.05,111.72,77.7,79,96,4.7
103,Asau,RO,2020-11-09 11:16:18,46.43,26.4,54.0,74,67,3.58
104,Oparino,RU,2020-11-09 11:16:18,59.85,48.28,32.2,94,100,11.68
105,Quatre Cocos,MU,2020-11-09 11:16:19,-20.21,57.76,78.8,69,40,12.75
106,Mahon,ES,2020-11-09 11:16:19,39.89,4.27,68.0,82,20,5.82
107,Cayenne,GF,2020-11-09 11:16:19,4.93,-52.33,75.2,100,0,9.48
108,Lebu,CL,2020-11-09 11:16:19,-37.62,-73.65,51.73,90,21,13.73
109,General Bravo,MX,2020-11-09 11:16:20,25.8,-99.17,69.6,86,0,11.72
110,Dongfeng,CN,2020-11-09 11:16:20,42.64,125.51,22.98,80,0,4.74
111,Merauke,ID,2020-11-09 11:16:21,-8.47,140.33,80.06,82,100,9.28
112,Sassandra,CI,2020-11-09 11:16:21,4.95,-6.08,86.81,60,38,4.59
113,Sola,VU,2020-11-09 11:16:21,-13.88,167.55,81.54,81,100,13.06
114,Ostrovnoy,RU,2020-11-09 11:16:21,68.05,39.51,30.61,96,83,15.37
115,Ardrishaig,GB,2020-11-09 11:16:22,56.02,-5.45,53.6,81,20,5.82
116,Cap Malheureux,MU,2020-11-09 11:16:22,-19.98,57.61,78.01,71,5,11.99
117,Te Anau,NZ,2020-11-09 11:16:22,-45.42,167.72,44.92,89,8,3.38
118,Kloulklubed,PW,2020-11-09 11:16:23,7.04,134.26,78.8,88,75,8.05
119,Fenton,US,2020-11-09 11:16:23,42.8,-83.7,60.8,63,1,5.82
120,Grand-Santi,GF,2020-11-09 11:16:24,4.25,-54.38,75.24,83,33,3.29
121,Mahebourg,MU,2020-11-09 11:16:24,-20.41,57.7,78.8,69,40,12.75
122,Bambous Virieux,MU,2020-11-09 11:16:24,-20.34,57.76,78.8,69,40,12.75
123,Sambava,MG,2020-11-09 11:16:25,-14.27,50.17,80.78,67,59,14.83
124,Bucak,TR,2020-11-09 11:16:25,37.46,30.59,78.8,39,0,2.24
125,Hambantota,LK,2020-11-09 11:16:25,6.12,81.12,82.4,94,75,4.7
126,Boguchany,RU,2020-11-09 11:16:25,58.38,97.45,37.29,85,99,7.94
127,Floro,NO,2020-11-09 11:16:26,61.6,5.03,50.0,71,0,4.7
128,Romanovo,RU,2020-11-09 11:16:26,52.62,81.23,40.53,64,81,19.62
129,Roma,US,2020-11-09 11:12:01,43.21,-75.46,37.4,86,1,3.31
130,Georgetown,MY,2020-11-09 11:16:26,5.41,100.34,84.2,74,20,3.36
131,Ust-Ishim,RU,2020-11-09 11:16:27,57.69,71.17,32.49,97,100,12.71
132,Ruteng,ID,2020-11-09 11:16:27,-8.61,120.47,65.62,100,100,2.53
133,Myitkyina,MM,2020-11-09 11:16:27,25.38,97.4,73.35,60,0,0.72
134,Tigil,RU,2020-11-09 11:16:27,57.8,158.67,20.19,90,22,1.81
135,Mandalgovi,MN,2020-11-09 11:16:28,45.76,106.27,35.26,68,2,9.1
136,Jamestown,US,2020-11-09 11:16:28,42.1,-79.24,48.2,70,1,6.93
137,Bronnoysund,NO,2020-11-09 11:16:29,65.46,12.2,44.6,70,40,4.7
138,Dakar,SN,2020-11-09 11:15:21,14.69,-17.44,84.2,74,0,11.41
139,Vanimo,PG,2020-11-09 11:16:29,-2.67,141.3,81.0,78,98,4.56
140,Reforma,MX,2020-11-09 11:16:30,18.1,-91.02,69.28,96,17,4.12
141,Cascais,PT,2020-11-09 11:16:30,38.7,-9.42,66.99,68,40,3.36
142,Narsaq,GL,2020-11-09 11:16:30,60.92,-46.05,26.6,92,75,0.87
143,Vardo,NO,2020-11-09 11:16:31,70.37,31.11,33.8,80,40,23.04
144,Santa Ana,US,2020-11-09 11:15:46,33.75,-117.87,50.0,66,1,2.75
145,Harper,LR,2020-11-09 11:16:31,4.38,-7.72,84.38,67,52,5.37
146,Flin Flon,CA,2020-11-09 11:16:32,54.77,-101.86,11.19,95,100,14.67
147,New Norfolk,AU,2020-11-09 11:16:32,-42.78,147.06,62.6,63,0,5.82
148,The Pas,CA,2020-11-09 11:16:32,53.83,-101.25,14.0,85,90,14.99
149,Dunedin,NZ,2020-11-09 11:14:47,-45.87,170.5,52.0,74,90,0.83
150,Alice Springs,AU,2020-11-09 11:12:26,-23.7,133.88,93.2,10,61,5.82
151,Acapulco,MX,2020-11-09 11:14:13,16.86,-99.89,77.18,81,7,2.08
152,Bailen,ES,2020-11-09 11:16:33,38.1,-3.78,64.0,68,36,1.41
153,Mwinilunga,ZM,2020-11-09 11:16:33,-11.74,24.43,91.51,26,31,4.45
154,Krasnyy Chikoy,RU,2020-11-09 11:16:34,50.36,108.75,30.47,93,0,3.56
155,Kilindoni,TZ,2020-11-09 11:16:34,-7.91,39.67,81.03,76,21,12.62
156,Batticaloa,LK,2020-11-09 11:16:34,7.71,81.69,83.61,73,14,9.42
157,Camana,PE,2020-11-09 11:16:35,-16.62,-72.71,63.59,79,89,6.53
158,Katsuura,JP,2020-11-09 11:16:35,35.13,140.3,60.8,41,40,6.93
