City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Bonthe,SL,83.07,light rain,7.53,-12.51,Bonthe Holiday Village
288,Souillac,MU,80.6,broken clouds,-20.52,57.52,Bils' Villa
292,Luganville,VU,75.2,overcast clouds,-15.53,167.17,The Espiritu Hotel
295,Broken Hill,AU,89.6,broken clouds,-31.95,141.43,Daydream Motel & Cottages
299,San Fernando,PH,82.4,broken clouds,15.03,120.69,Maharlika Hostel
302,Maceio,BR,78.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
308,Praya,CV,78.8,few clouds,14.92,-23.51,LT Aparthotel
310,Sao Joao Da Barra,BR,77.0,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
313,Salalah,OM,86.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
314,Sibiti,CG,80.33,light rain,-3.68,13.35,Hotel Mapila 1
320,Lorengau,PG,82.98,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
321,Manokwari,ID,82.67,broken clouds,-0.87,134.08,Swiss Belhotel Manokwari
323,Vanimo,PG,81.03,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
328,Fomboni,KM,80.49,broken clouds,-12.28,43.74,Auberge les abou
333,Mankono,CI,85.1,clear sky,8.06,-6.19,Hotel Cajoux
334,Dhariwal,IN,78.8,smoke,31.95,75.32,ਤੈਨੂੰ ਪਤਾ ਹੀ ਆ
337,Abha,SA,80.6,few clouds,18.22,42.51,Abha Hotel
345,Port Moresby,PG,80.6,overcast clouds,-9.44,147.18,Lamana Hotel
346,Marawi,PH,75.99,heavy intensity rain,8.0,124.29,Derogongan Residence
351,Tondano,ID,84.2,few clouds,1.3,124.91,Villa Bella
353,Srandakan,ID,81.68,broken clouds,-7.94,110.25,Puri Brata
355,Cockburn Town,TC,80.89,light rain,21.46,-71.14,Osprey Beach Hotel
358,Morondava,MG,85.73,clear sky,-20.28,44.28,La Case Bambou
364,Yarada,IN,87.8,haze,17.65,83.27,"D-26/2, Dolphin Hill,"
365,Sao Geraldo Do Araguaia,BR,76.84,overcast clouds,-6.4,-48.55,Hotel Por do Sol
371,Dubai,AE,88.0,few clouds,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
374,Gat,IL,77.0,clear sky,31.61,34.76,OlusHome
375,Jejuri,IN,79.81,clear sky,18.28,74.17,Hotel Malhargad
385,Bulatukan,PH,78.8,light rain,6.9,125.16,Le Reve Resort
386,Pernem,IN,87.8,haze,15.72,73.8,OYO 48932 Coconut Inn
388,Dawei,MM,81.79,clear sky,14.08,98.2,Hotel Dawei
398,Hatillo,PR,75.0,moderate rain,18.49,-66.83,Hotel Parador El Buen Cafe
405,Vangaindrano,MG,83.23,scattered clouds,-23.35,47.6,Hotel Fanilo
412,Kindu,CD,75.31,moderate rain,-2.95,25.95,Hotel Karibu
416,Saint-Pierre,RE,80.6,scattered clouds,-21.34,55.48,Lindsey Hôtel
433,Atar,MR,82.4,clear sky,20.52,-13.05,Oumou Elghoura
434,Douentza,ML,88.18,clear sky,15.0,-2.95,Ogomono Doumbo
441,Cartagena,CO,80.6,scattered clouds,10.4,-75.51,Costa Del Sol
450,Kalemie,CD,79.34,light rain,-5.95,29.19,Mahobilali
454,Saint Marys,US,75.99,haze,30.73,-81.55,Spencer House Inn
455,Morant Bay,JM,77.0,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
457,Betong,TH,80.33,light rain,5.77,101.07,New Cathay Hotel
467,Auki,SB,80.89,light rain,-8.77,160.7,Auki Motel
469,Grand Gaube,MU,79.0,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
473,Katubao,PH,84.2,broken clouds,5.89,124.83,IML Ecopark
474,Sainte-Marie,RE,82.4,clear sky,-20.9,55.55,Les pailles en queue de Sainte Marie
477,Cayenne,GF,77.0,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
479,Sola,VU,78.8,moderate rain,-13.88,167.55,Ulkel Guest House
481,Meulaboh,ID,83.7,overcast clouds,4.14,96.13,Kost Pria
487,Finschhafen,PG,79.29,overcast clouds,-6.6,147.87,Cossam Guest House
489,Conde,BR,80.6,broken clouds,-7.26,-34.91,Pousada Beija Flor
490,Riachao,BR,77.11,scattered clouds,-7.36,-46.62,Pousada Nordestina
491,Popondetta,PG,75.43,moderate rain,-8.75,148.25,Timos Transit House
492,Dhidhdhoo,MV,84.27,overcast clouds,6.88,73.1,Dhidhoo beach
494,Cap Malheureux,MU,79.0,few clouds,-19.98,57.61,Pereybere Hotel & Spa
496,Phan Thiet,VN,77.45,light rain,10.93,108.1,Hotel Saigon-PT
499,Moree,AU,75.2,clear sky,-29.47,149.85,Molika Springs Motel
512,Mackay,AU,75.2,broken clouds,-21.15,149.2,International Lodge Motel
513,Miri,MY,84.0,few clouds,4.41,114.01,"Mega Hotel, Miri"
517,Poum,NC,75.02,overcast clouds,-20.23,164.02,Gîte kajeon
523,Acapulco,MX,76.55,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
525,Padang,ID,79.7,overcast clouds,-0.95,100.35,Mercure Padang
530,Boa Vista,BR,77.0,clear sky,2.82,-60.67,Aipana Plaza Hotel
532,Ahuimanu,US,78.8,few clouds,21.44,-157.84,Paradise Bay Resort
533,Moerai,PF,75.24,overcast clouds,-22.43,-151.33,Le Manotel
535,Oistins,BB,80.6,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
538,Port Hedland,AU,82.4,clear sky,-20.32,118.57,The Esplanade Hotel
539,San Policarpo,PH,78.39,moderate rain,12.18,125.51,Zal-Ann Beach Resort
541,Montego Bay,JM,80.6,broken clouds,18.47,-77.92,Sunscape Splash Montego Bay
549,Aquiraz,BR,80.6,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
552,Dicabisagan,PH,79.23,moderate rain,17.08,122.42,Nancy Montanes Bernardo
554,Mpika,ZM,89.69,broken clouds,-11.83,31.45,Melodies Lodge
556,Antalaha,MG,80.73,light rain,-14.9,50.28,Hotel Vitasoa
562,Luwuk,ID,79.74,broken clouds,-0.95,122.79,Hotel Santika Luwuk
564,Bosaso,SO,82.4,few clouds,11.28,49.18,Red Sea Hotel
570,Takoradi,GH,83.23,clear sky,4.88,-1.76,Raybow International Hotel
574,Kavaratti,IN,83.68,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
578,Kupang,ID,82.4,scattered clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
579,Catarman,PH,76.66,heavy intensity rain,12.5,124.64,Pink City Pension Hotel
585,Caravelas,BR,77.74,clear sky,-17.71,-39.25,Pousada dos Navegantes
586,Limbe,CM,84.2,broken clouds,4.02,9.21,The LK Hotel at Bonadikombo
587,Bilma,NE,79.03,clear sky,18.69,12.92,Expeditions Ténére voyages
588,Tura,IN,77.95,clear sky,25.52,90.22,Hotel RIKMAN Continental
590,Pangkalanbuun,ID,82.53,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
591,Daru,PG,79.16,overcast clouds,-9.08,143.21,New century hotel
592,Kalmunai,LK,82.4,overcast clouds,7.42,81.82,VS Villa
596,Tahta,EG,75.2,clear sky,26.77,31.5,ماستر تك
598,Angoche,MZ,87.93,few clouds,-16.23,39.91,Guest House HESADA
600,Manono,CD,80.29,moderate rain,-7.3,27.42,Hotel hewa bora
606,Lakhnau,IN,84.2,haze,26.85,80.92,OYO Flagship 19334 Shanta Inn Charbagh
607,Bandarbeyla,SO,80.73,clear sky,9.49,50.81,REER XOOSHLE GROUP
619,Doha,QA,89.6,clear sky,25.29,51.53,Doha Marriott Hotel
621,Tual,ID,85.06,overcast clouds,-5.67,132.75,Grand Vilia Hotel
622,Baillif,GP,77.0,light rain,16.02,-61.75,Chambres Bougainvilliers Vue Mer
626,Talkha,EG,79.77,clear sky,31.05,31.38,Almadiafah
628,Pau Dos Ferros,BR,79.41,scattered clouds,-6.11,-38.21,Hertz Center Hotel
631,Bubaque,GW,83.08,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
638,Ferkessedougou,CI,87.3,clear sky,9.6,-5.2,Hotel Chateau
639,Karratha,AU,84.47,clear sky,-20.74,116.85,ibis Styles Karratha
644,Phalaborwa,ZA,78.8,broken clouds,-23.94,31.14,Bothabelo B&B
645,Kloulklubed,PW,78.8,overcast clouds,7.04,134.26,Storyboard Beach Resort
646,Erzin,TR,77.0,clear sky,36.96,36.2,Artemis Otel
647,Matara,LK,84.42,heavy intensity rain,5.95,80.54,Amaloh Boutique Resort
651,Berbera,SO,85.19,few clouds,10.44,45.01,Damal Hotel
656,Coruripe,BR,78.76,light rain,-10.13,-36.18,Pousada e Hotel Litoral Sul
658,Paka,MY,84.2,scattered clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
662,Kikwit,CD,75.6,overcast clouds,-5.04,18.82,Centre D'Accueil Protestant
664,Samarai,PG,80.24,light rain,-10.62,150.67,Nuli Sapi
672,Tiarei,PF,77.0,light rain,-17.53,-149.33,Le Rocher de Tahiti
685,Kapoeta,SS,89.96,scattered clouds,4.77,33.59,Eastgate Hotel
687,Kohlu,PK,75.87,clear sky,29.9,69.25,Captain Shaheed Mir Jahangir Abad kohlu
689,Ixtapa,MX,75.99,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
694,Mogadishu,SO,82.87,moderate rain,2.04,45.34,Hotel Juba
695,Kita,ML,89.62,clear sky,13.03,-9.49,Hôtel Nelson Mandela
699,Cabinda,AO,82.4,scattered clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
700,Boundiali,CI,87.21,clear sky,9.52,-6.49,Hotel Paysan Boundiali
705,Boyolangu,ID,80.24,overcast clouds,-8.12,111.89,Yos ega cv
706,Davila,PH,80.6,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
708,Mareeba,AU,77.0,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
